2024-02-08 16:05:23 INFO  tests.BaseTest:11 - zf
2024-02-08 16:12:53 INFO  tests.BaseTest:13 - Launched the APP
2024-02-08 16:15:15 INFO  tests.BaseTest:13 - Launched the APP
2024-02-09 10:00:29 INFO  tests.BaseTest:11 - Launched the APP
2024-02-09 15:41:04 INFO  Logs:18 - Launched the APP
2024-02-09 15:42:04 INFO  Logs:18 - Launched the APP
2024-02-09 15:47:24 INFO  Logs:18 - Launched the APP
2024-02-09 15:48:47 INFO  Logs:18 - Launched the APP
2024-02-09 16:16:54 INFO  Logs:19 - Launched the APP
2024-02-09 16:19:16 INFO  Logs:19 - Launched the APP
2024-02-09 16:24:47 INFO  Logs:19 - Launched the APP
2024-02-09 16:53:50 INFO  Logs:19 - Launched the APP
2024-02-09 16:58:34 INFO  Logs:19 - Launched the APP
2024-02-09 16:59:26 INFO  Logs:19 - Launched the APP
2024-02-09 17:13:20 INFO  Logs:19 - Launched the APP
2024-02-09 18:21:48 INFO  Logs:16 - Launched the APP
2024-02-09 18:27:04 INFO  Logs:16 - Launched the APP
2024-02-09 18:28:36 INFO  Logs:16 - Launched the APP
2024-02-09 18:30:17 INFO  Logs:16 - Launched the APP
2024-02-09 18:42:29 INFO  Logs:16 - Launched the APP
2024-02-09 18:53:01 INFO  Logs:16 - Launched the APP
2024-02-09 18:56:27 INFO  Logs:16 - Launched the APP
2024-02-09 18:58:21 INFO  Logs:16 - Launched the APP
2024-02-12 12:24:37 INFO  Logs:16 - Launched the APP
2024-02-12 12:25:37 INFO  Logs:16 - Launched the APP
2024-02-12 13:09:07 INFO  Logs:16 - Launched the APP
2024-02-12 13:37:09 INFO  Logs:16 - Launched the APP
2024-02-12 13:43:23 INFO  Logs:16 - Launched the APP
2024-02-12 13:45:44 INFO  Logs:16 - Launched the APP
2024-02-13 12:46:14 INFO  Logs:18 - Launched the APP
2024-02-13 12:47:52 INFO  Logs:18 - Launched the APP
2024-02-13 12:53:11 INFO  Logs:20 - Launched the APP
2024-02-13 14:33:52 INFO  Logs:18 - Launched the APP
2024-02-13 21:25:54 INFO  Logs:18 - Launched the APP
